2015-01-25 01:29:32,312 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: sportaholic-adm:sportaholic-adm:0.0.1-SNAPSHOT @ /home/luizyamaoka/workspace/sportaholic/sportaholic-adm/pom.xml.
2015-01-25 01:29:32,312 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: sportaholic-adm:sportaholic-adm:0.0.1-SNAPSHOT @ /home/luizyamaoka/workspace/sportaholic/sportaholic-adm/pom.xml.
2015-01-25 01:29:32,351 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for sportaholic-core:sportaholic-core:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2015-01-25 01:29:32,354 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for sportaholic-core:sportaholic-core:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2015-01-25 01:29:37,298 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for sportaholic-core:sportaholic-core:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2015-01-25 01:29:42,311 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:29:42,341 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2015-01-25 01:29:42,371 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:29:42,371 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-adm/src/test/resources
2015-01-25 01:29:42,727 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: sportaholic-adm:sportaholic-adm:0.0.1-SNAPSHOT @ /home/luizyamaoka/workspace/sportaholic/sportaholic-adm/pom.xml.
2015-01-25 01:29:42,752 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for sportaholic-core:sportaholic-core:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2015-01-25 01:29:44,158 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: sportaholic-adm:sportaholic-adm:0.0.1-SNAPSHOT @ /home/luizyamaoka/workspace/sportaholic/sportaholic-adm/pom.xml.
2015-01-25 01:29:44,470 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for sportaholic-core:sportaholic-core:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2015-01-25 01:29:47,031 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: sportaholic-core:sportaholic-core:0.0.1-SNAPSHOT @ /home/luizyamaoka/workspace/sportaholic/sportaholic-core/pom.xml.
2015-01-25 01:29:48,407 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: sportaholic-adm:sportaholic-adm:0.0.1-SNAPSHOT @ /home/luizyamaoka/workspace/sportaholic/sportaholic-adm/pom.xml.
2015-01-25 01:29:54,959 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:29:54,966 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/main/resources
2015-01-25 01:29:54,967 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:29:54,970 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-core/src/test/resources
2015-01-25 01:29:55,609 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:29:55,639 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2015-01-25 01:29:55,655 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:29:55,657 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-adm/src/test/resources
2015-01-25 01:30:00,556 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: sportaholic-site:sportaholic-site:0.0.1-SNAPSHOT @ /home/luizyamaoka/workspace/sportaholic/sportaholic-site/pom.xml.
2015-01-25 01:30:02,142 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:30:02,146 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2015-01-25 01:30:02,148 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:30:02,148 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-site/src/test/resources
2015-01-25 01:30:02,512 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: sportaholic-site:sportaholic-site:0.0.1-SNAPSHOT @ /home/luizyamaoka/workspace/sportaholic/sportaholic-site/pom.xml.
2015-01-25 01:30:17,174 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:30:17,183 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2015-01-25 01:30:17,184 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:30:17,185 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-site/src/test/resources
2015-01-25 01:30:44,424 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:30:44,425 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2015-01-25 01:30:44,437 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-25 01:30:44,438 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/luizyamaoka/workspace/sportaholic/sportaholic-adm/src/test/resources
2015-01-25 01:31:33,709 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-01-25 01:31:34,057 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: sportaholic-adm:sportaholic-adm:0.0.1-SNAPSHOT @ /home/luizyamaoka/workspace/sportaholic/sportaholic-adm/pom.xml.
2015-01-25 01:31:34,141 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: sportaholic-core:sportaholic-core:0.0.1-SNAPSHOT @ /home/luizyamaoka/workspace/sportaholic/sportaholic-core/pom.xml.
2015-01-25 01:31:34,169 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: sportaholic-site:sportaholic-site:0.0.1-SNAPSHOT @ /home/luizyamaoka/workspace/sportaholic/sportaholic-site/pom.xml.
2015-01-25 01:31:34,947 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /sportaholic-adm/src/main/java
2015-01-25 01:31:34,947 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /sportaholic-adm/src/main/resources overlaps with sources folder /sportaholic-adm/src/main/resources
2015-01-25 01:31:34,948 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /sportaholic-adm/src/test/java
2015-01-25 01:31:36,381 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /sportaholic-core/src/java/main
2015-01-25 01:31:36,381 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /sportaholic-core/src/test/java
2015-01-25 01:31:36,581 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /sportaholic-site/src/main/java
2015-01-25 01:31:36,581 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /sportaholic-site/src/main/resources overlaps with sources folder /sportaholic-site/src/main/resources
2015-01-25 01:31:36,590 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /sportaholic-site/src/test/java
